iter	Passed	Remaining
0	58	17606
1	113	1692622	168	1665533	219	1621844	312	18441
5	326	15980
6	419	17551
7	480	17529
8	532	17229
9	578	16777
10	651	17109
11	706	16951
12	756	16697
13	816	16678
14	877	16667
15	949	16850
16	993	16544
17	1047	16404
18	1106	16369
19	1169	16379
20	1227	16310
21	1313	16599
22	1393	16777
23	1470	16915
24	1532	16862
25	1651	17405
26	1738	17582
27	1819	17671
28	1891	17674
29	1959	17639
30	2026	17586
31	2104	17625
32	2179	17631
33	2248	17594
34	2291	17352
35	2345	17202
36	2415	17172
37	2457	16942
38	2505	16767
39	2557	16623
40	2605	16462
41	2649	16277
42	2699	16134
43	2759	16055
44	2809	15921
45	2860	15792
46	2915	15696
47	2965	15566
48	3023	15489
49	3071	15357
50	3117	15221
51	3155	15047
52	3246	15132
53	3301	15040
54	3354	14942
55	3406	14842
56	3453	14723
57	3496	14589
58	3544	14477
59	3596	14384
60	3654	14317
61	3699	14202
62	3754	14123
63	3817	14078
64	3881	14034
65	3930	13936
66	3936	13689
67	3993	13625
68	4039	13525
69	4090	13439
70	4182	13489
71	4231	13399
72	4279	13307
73	4333	13234
74	4398	13194
75	4440	13087
76	4445	12875
77	4533	12902
78	4543	12710
79	4602	12657
80	4651	12574
81	4707	12513
82	4764	12457
83	4815	12381
84	4868	12314
85	4915	12231
86	4965	12157
87	5020	12095
88	5074	12030
89	5126	11961
90	5181	11899
91	5234	11834
92	5287	11768
93	5346	11717
94	5394	11640
95	5481	11649
96	5539	11593
97	5602	11547
98	5658	11487
99	5699	11398
100	5749	11328
101	5800	11259
102	5856	11200
103	5905	11129
104	5965	11078
105	6012	11004
106	6059	10930
107	6106	10856
108	6122	10729
109	6219	10743
110	6269	10675
111	6314	10599
112	6359	10524
113	6402	10446
114	6452	10380
115	6499	10309
116	6601	10326
117	6709	10348
118	6819	10371
119	6934	10402
120	7035	10408
121	7114	10380
122	7197	10357
123	7260	10305
124	7325	10255
125	7391	10206
126	7455	10155
127	7525	101111128	7601	10076
129	7657	100130130	7713	99131131	7767	98132132	7823	98133133	7891	97134134	7949	97135135	8005	96136136	8056	95137137	8123	95138138	8163	94139139	8222	93140140	8287	93141141	8353	92142142	8410	92143143	8465	91144144	8526	91145145	8592	9063
146	8647	9000
147	8705	8940
148	8768	8886
149	8814	8814
150	8874	8757
151	8933	8698
152	8981	8629
153	9035	8566
154	9086	8500
155	9147	84156156	9202	83157157	9264	8326
158	9323	8268
159	9373	82160160	9434	81161161	9488	80162162	9543	80163163	9599	79164164	9657	79165165	9702	78166166	9744	77167167	9797	76168168	9852	76169169	9907	75170170	9958	75171171	10023	7172	172	10099	7173	173	10151	7174	174	10210	7175	175	10271	7176	176	10330	7177	177	10390	7178	178	10447	7179	179	10492	6180	10521	6917
181	10575	6856
182	10628	6794
183	10688	6738
184	10739	6676
185	10787	6611
186	10847	6554
187	10884	6484
188	10932	6420
189	10985	6360
190	11034	6297
191	11092	6239
192	11141	6177
193	11199	6119
194	11255	6060
195	11321	6007
196	11381	5950
197	11445	5896
198	11486	5829
199	11535	5767
200	11579	5703
201	11629	5641
202	11687	5584
203	11742	5526
204	11802	5469
205	11855	5409
206	11914	5352
207	11969	5294
208	12015	5231
209	12074	5174
210	12136	5119
211	12201	5064
212	12285	5018
213	12348	4962
214	12398	4901
215	12442	4838
216	12491	4777
217	12540	4717
218	12603	4661
219	12663	4604
220	12723	4548
221	12774	4488
222	12830	4430
223	12897	4376
224	12950	4316
225	12998	4256
226	13046	4195
227	13099	4136
228	13152	4077
229	13205	4018
230	13264	3962
231	13306	3900
232	13369	3844
233	13415	3783
234	13464	3724
235	13508	3663
236	13550	3601
237	13614	3546
238	238	13695	3239	239	13741	3240	13770	3371
241	13823	3313
242	13869	3253
243	13930	3197
244	13979	3138
245	14031	3080
246	14085	3022
247	14134	2963
248	14208	2910
249	14262	2852
250	14316	2794
251	14372	2737
252	14423	2679
253	14477	2621
254	14525	2563
255	14574	2504
256	14635	2448
257	14692	2391
258	14742	2333
259	14793	2275
260	14851	2219
261	14907	2162
262	14951	2103
263	15013	2047
264	15054	1988
265	15111	1931
266	15170	1875
267	15218	1817
268	15268	1759
269	15311	1701
270	15347	1642
271	15394	1584
272	15448	1527
273	15499	1470
274	15558	1414
275	15607	1357
276	15672	1301
277	15726	1244
278	15783	1187
279	15845	1131
280	15877	1073
281	15922	1016
282	15979	959
283	16015	902
284	16059	845
285	16102	788
286	16140	731
287	16180	674
288	16212	617
289	16237	559
290	16270	503
291	16298	446
292	16317	389
293	16333	333
294	16349	277
295	16363	221
296	16380	165
297	16395	110
298	16407	54
299	16416	0
5	0
